date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,int_N_smooth,next_int_N_smooth,dt,nitrate_consumption,c_consumption,NCP,time_step_label
2023-02-01,339,40,4984.244091332395,4984.244091332395,4751.195884325875,4980.812135035401,10,10.87754287410371,7.2063721540937085,7.2063721540937085,10 days
2023-02-11,263,40,5041.04317946041,4866.15163636699,4965.95421894078,4907.65703790964,10,14.857916094621032,9.843369412686434,9.843369412686434,10 days
2023-02-21,328,40,4872.5753860295345,4872.5753860295345,4898.694646221426,4771.913077555996,10,8.962391688213756,5.937584493441614,5.937584493441614,10 days
2023-03-03,53.333333333333336,40,4782.465373174335,4577.012210271463,4769.275486720164,4700.791099085873,10,2.6375908358322704,1.7474039287388792,1.7474039287388792,10 days
2023-03-13,315,40,4652.785700956622,4652.785700956622,4690.949299467385,4458.753822087955,10,9.84179961848804,6.5201922472483265,6.5201922472483265,10 days
2023-03-23,283,40,4637.596824271198,4146.463555035782,4469.580252415429,4222.633470048948,10,-10.826430327473645,-7.17251009195129,-7.17251009195129,10 days
2023-04-02,267,40,4118.358232018467,3868.651154154441,4216.945481338683,3588.610957563021,10,5.687988710265017,3.768292520550574,3.768292520550574,10 days
2023-04-12,192,40,3894.881387726383,2750.718163498842,3559.3269994516977,3643.8843410802015,10,29.2839581113235,19.40062224875182,19.40062224875182,10 days
2023-04-22,57.5,40,2664.7413786102434,4312.283705587322,3612.1824607652925,3779.975495015138,10,31.701880314908976,21.002495708627198,21.002495708627198,10 days
2023-05-02,300,40,4276.924615959251,4276.924615959251,3732.3348643127943,3214.9005643413734,10,47.64063070234397,31.56191784030288,31.56191784030288,10 days
2023-05-12,50,40,4255.338598368889,1055.4933714775486,3218.4796629502066,2151.8645873197597,10,-3.579098608833192,-2.3711528283519896,-2.3711528283519896,10 days
2023-05-22,90.5,40,1123.1757745224795,1123.1757745224795,2134.9654776187103,864.4727513530652,10,16.899109701049383,11.195660176945216,11.195660176945216,10 days
2023-06-01,36,40,1026.3820599647627,414.7491080591682,831.9644285105715,628.0867778753728,10,32.508322842493726,21.536763883152094,21.536763883152094,10 days
2023-06-11,24,40,346.3354510444718,346.3354510444718,558.3347926787047,354.45714204350605,10,69.7519851966681,46.21069019279262,46.21069019279262,10 days
2023-06-21,13.25,40,302.28686702687924,302.28686702687924,300.6856832043543,300.68568320435384,10,53.77145883915176,35.62359148093804,35.62359148093804,10 days
2023-07-01,15.3,40,253.4347315417115,253.4347315417115,270.72879957993626,270.7287995799358,10,29.95688362441757,19.84643540117664,19.84643540117664,10 days
2023-07-11,8.166666666666666,40,256.4648001712178,256.4648001712178,239.92757316582743,239.92757316582697,10,30.801226414108385,20.405812499346805,20.405812499346805,10 days
2023-07-21,11.166666666666666,40,209.8831877845526,209.8831877845526,218.17217622784537,218.17217622784491,10,21.7553969379816,14.41295047141281,14.41295047141281,10 days
2023-07-31,18.5,40,188.16854072776536,188.16854072776536,187.31217896508159,187.31217896508113,10,30.85999726276333,20.444748186580703,20.444748186580703,10 days
2023-08-10,20.875,40,163.88480838292648,163.88480838292648,163.19684790305857,163.1968479030581,10,24.115331062022562,15.976406828589948,15.976406828589948,10 days
2023-08-20,18.625,40,137.5371945984835,137.5371945984835,153.08213672483112,166.48655910155625,10,10.114711178226997,6.700996155575386,6.700996155575386,10 days
2023-08-30,29,40,157.82440719308306,198.03767432325984,200.53144789565704,268.3605548015875,10,-34.044888794100785,-22.55473882609177,-22.55473882609177,10 days
2023-09-09,46.25,40,306.2327418954042,469.50679548302014,327.44547237196656,395.2745792778971,10,-59.08491757037905,-39.143757890376115,-39.143757890376115,10 days
2023-09-19,63.285714285714285,40,518.2792680274122,518.2792680274122,456.9261644022995,548.792324269163,10,-61.6515851244024,-40.84417514491659,-40.84417514491659,10 days
2023-09-29,61.333333333333336,40,546.2664832840817,658.5909092970578,574.408798291288,611.8502736289463,10,-25.616474022124976,-16.970914039657796,-16.970914039657796,10 days
2023-10-09,73,40,658.6806435623699,658.6806435623699,647.3792852875473,657.1644251085853,10,-35.52901165860101,-23.53797022382317,-23.53797022382317,10 days
2023-10-19,58.833333333333336,40,737.1907290161898,654.2217224663293,692.5198125253819,747.9038170483549,10,-35.35538741679659,-23.42294416362774,-23.42294416362774,10 days
2023-10-29,65.5,40,681.6880649975855,930.8090851163664,787.5589602289383,842.9429647519114,10,-39.65514318058342,-26.271532357136515,-26.271532357136515,10 days
2023-11-08,86,40,943.7980866730395,943.7980866730395,848.4771210617752,1089.6937793492114,10,-5.534156309863761,-3.6663785552847417,-3.6663785552847417,10 days
2023-11-18,82.16666666666667,40,919.9452115147004,1394.4741662582287,1087.0108056070976,1259.936597524002,10,2.682973742113745,1.7774701041503562,1.7774701041503562,10 days
2023-11-28,120,40,1397.2891186335526,1441.537539640739,1231.0810799777055,1715.744550163102,10,28.855517546296596,19.116780374421495,19.116780374421495,10 days
2023-12-08,123,40,1376.0089097848634,2311.22194459034,1715.6162105513267,2104.041016513734,10,0.12833961177534547,0.08502499280116638,0.08502499280116638,10 days
2023-12-18,184,40,2373.550603235564,2559.3635653101237,2101.7741986517344,2475.44953094508,10,2.266817861999698,1.5017668335747998,1.5017668335747998,10 days
2023-12-28,196,40,2555.7630829347763,2555.7630829347763,2518.4681031321747,2845.7753524118475,10,-43.01857218709483,-28.499804073950326,-28.499804073950326,10 days
2024-01-07,175,40,2626.090623226184,3422.1994089906443,2862.982398993092,3226.288864358832,10,-17.207046581244413,-11.399668360074424,-11.399668360074424,10 days
2024-01-17,245,40,3407.0934908183144,3700.9041011510776,3296.8982548638364,3855.752454050589,10,-70.60939050500428,-46.77872120956534,-46.77872120956534,10 days
2024-01-27,263,40,3857.5106505470108,4444.153852010048,3915.064330384032,4208.548934315965,10,-59.3118763334428,-39.29411807090585,-39.29411807090585,10 days
